Tage Thompson,BUF,RW,30,10,8,18,-5,13,93,0,2,2,0,0,22,9
Jason Robertson,DAL,LW,23,10,15,25,7,14,59,3,3,4,0,0,6,5
Alexandre Texier,CLS,C,28,9,7,16,3,6,48,0,0,0,1,0,10,8
Drake Batherson,OTT,RW,23,9,19,28,4,12,61,0,0,9,0,0,54,12
Alex Iafallo,LA,C,30,9,10,19,5,4,84,2,1,2,0,1,19,24
Jordan Kyrou,STL,RW,27,9,16,25,2,4,68,0,2,6,0,1,3,8
Clayton Keller,ARI,C,29,9,13,22,-4,18,77,2,2,1,0,1,5,17
Andrei Svechnikov,CAR,RW,26,9,12,21,9,35,82,1,1,6,0,0,40,2
Vladislav Namestnikov,DET,C,31,9,7,16,1,14,40,0,0,0,0,0,23,16
Gabriel Landeskog,COL,LW,22,9,18,27,12,44,61,1,1,6,0,0,34,16
Evgeny Kuznetsov,WAS,C,28,9,21,30,15,14,72,2,1,7,1,2,12,11
Tom Wilson,WAS,RW,27,9,15,24,15,31,48,1,1,2,1,1,78,23
Ondrej Palat,TB,LW,30,9,10,19,6,10,57,4,0,2,0,0,50,20
Alex Killorn,TB,C,30,9,16,25,0,26,50,1,0,4,0,0,31,8
Anze Kopitar,LA,C,30,9,18,27,-4,6,80,2,3,7,0,1,30,31
Jeff Carter,PIT,C,27,9,8,17,-1,20,87,1,1,2,0,0,30,16
Logan Couture,SJ,C,29,9,16,25,5,6,69,1,1,4,1,1,36,21
Jeff Skinner,BUF,LW,30,9,8,17,-7,2,87,1,1,2,0,0,12,8
Artemi Panarin,NYR,LW,29,9,24,33,5,14,72,3,2,11,0,0,10,4
Pavel Zacha,NJ,C,30,9,7,16,-12,10,73,1,2,3,0,0,38,8
Brock Boeser,VAN,RW,28,9,8,17,-5,4,76,2,3,3,0,1,11,13
Danton Heinen,PIT,C,30,9,5,14,5,10,54,1,2,0,0,0,29,17
Conor Garland,VAN,RW,31,9,13,22,7,24,86,3,1,1,0,0,20,9
Anthony Cirelli,TB,C,28,9,9,18,4,27,58,1,3,1,0,0,30,30
Brandon Tanev,SEA,LW,30,9,6,15,4,13,51,3,2,0,1,0,98,22
Chandler Stephenson,VGK,C,31,9,22,31,10,10,50,1,0,5,1,1,30,20
Sam Bennett,FLA,LW,24,9,5,14,10,29,86,4,3,1,0,1,51,9
Sam Reinhart,FLA,RW,29,9,14,23,3,6,60,1,2,3,0,0,22,12
Anthony Duclair,FLA,LW,21,9,8,17,12,2,44,0,1,3,0,0,8,7
Oliver Bjorkstrand,CLS,RW,28,9,14,23,-12,6,78,0,3,5,0,0,15,8
Andreas Johnsson,NJ,LW,30,9,10,19,6,18,61,0,1,0,0,0,26,7
Aaron Ekblad,FLA,D,28,8,16,24,17,14,94,1,2,6,0,0,27,27
David Pastrnak,BOS,RW,26,8,13,21,1,8,115,1,4,2,0,0,20,5
Sonny Milano,ANH,LW,27,8,13,21,3,2,48,2,3,3,0,0,13,6
Robby Fabbri,DET,LW,29,8,6,14,-11,12,66,0,3,1,0,0,48,13
Anders Lee,NYI,C,21,8,2,10,-1,8,51,1,1,0,0,0,23,8
Ryan Donato,SEA,C,27,8,5,13,-8,21,57,1,1,0,0,0,22,8
Ondrej Kase,TOR,RW,27,8,7,15,4,12,73,0,1,2,0,0,16,19
Ryan Johansen,NSH,C,27,8,16,24,1,10,40,1,3,5,0,0,21,15
Nino Niederreiter,CAR,RW,23,8,7,15,10,2,49,3,2,1,0,0,29,10
Mats Zuccarello,MIN,RW,24,8,16,24,12,2,53,1,2,7,0,0,10,14
Tyler Seguin,DAL,C,29,8,4,12,-9,10,74,1,2,2,0,0,30,10
Evgenii Dadonov,VGK,RW,31,8,6,14,5,6,80,2,2,1,0,0,28,13
Erik Karlsson,SJ,D,24,8,11,19,3,12,58,2,0,6,0,0,10,27
Jamie Benn,DAL,C,29,8,7,15,-2,29,67,1,2,3,0,0,58,19
Brock McGinn,PIT,LW,30,8,4,12,4,8,57,2,0,0,0,0,46,26
Rickard Rakell,ANH,C,22,8,5,13,1,4,66,0,2,1,0,0,16,19
Mark Scheifele,WPG,C,24,8,11,19,-6,2,56,1,2,3,0,0,12,18
Oliver Wahlstrom,NYI,RW,26,8,7,15,0,29,65,1,4,3,0,0,37,8
Joel Farabee,PHI,LW,22,8,3,11,8,13,36,0,1,0,1,0,29,8
Dawson Mercer,NJ,C,30,8,8,16,1,16,57,0,1,1,1,0,8,14
Dylan Cozens,BUF,C,30,8,7,15,-10,11,52,1,1,2,0,0,11,10
Trevor Zegras,ANH,C,30,8,17,25,-6,24,73,2,2,4,0,0,14,8
Jonathan Dahlen,SJ,LW,26,8,6,14,2,2,52,2,1,2,0,0,7,9
Brandon Hagel,CHI,LW,27,8,8,16,-6,4,44,1,1,1,0,0,18,10
Jesper Bratt,NJ,LW,29,8,16,24,1,10,81,3,0,3,0,0,11,9
Tanner Jeannot,NSH,LW,30,8,9,17,2,38,47,2,1,1,0,0,92,20
Martin Necas,CAR,C,27,7,10,17,6,12,53,4,1,1,0,0,20,6
Eetu Luostarinen,FLA,LW,26,7,2,9,1,4,35,3,0,0,1,0,31,18
Nils Hoglander,VAN,LW,31,7,5,12,3,16,71,0,0,2,0,0,14,7
Isac Lundestrom,ANH,LW,32,7,9,16,7,0,45,2,0,0,2,0,15,21
Jesperi Kotkaniemi,CAR,LW,29,7,6,13,1,8,34,2,0,2,0,0,33,10
Mika Zibanejad,NYR,C,30,7,18,25,1,6,84,0,4,7,0,1,21,16
Charlie Coyle,BOS,C,26,7,7,14,-3,10,50,2,1,3,0,0,39,11
Jesper Fast,CAR,RW,29,7,5,12,2,2,35,1,1,1,0,0,41,16
Teuvo Teravainen,CAR,C,29,7,16,23,12,10,76,1,4,6,1,0,9,18
Travis Boyd,ARI,C,22,7,6,13,-6,16,24,0,0,1,0,0,19,17
Vincent Trocheck,CAR,C,29,7,12,19,9,37,53,1,3,3,0,0,56,17
Victor Hedman,TB,D,30,7,24,31,13,20,77,2,2,8,0,0,43,43
David Perron,STL,RW,20,7,11,18,-1,12,50,1,3,5,0,0,15,3
Milan Lucic,CGY,LW,28,7,4,11,-3,31,36,0,1,1,0,0,79,9
Patrick Kane,CHI,RW,26,7,18,25,-7,4,94,2,2,7,0,0,5,4
Paul Stastny,WPG,C,22,7,8,15,9,8,33,2,2,1,0,0,7,10
Jason Spezza,TOR,C,26,7,4,11,1,12,43,0,3,3,0,0,11,13
Brayden Point,TB,C,16,7,6,13,2,7,38,2,1,3,0,0,14,5
Michael Bunting,TOR,LW,30,7,12,19,0,24,62,1,2,1,0,0,28,5
Josh Anderson,MON,RW,25,7,6,13,-11,16,66,1,0,1,0,0,54,6
Teddy Blueger,PIT,C,30,7,5,12,4,2,53,0,0,0,1,0,39,17
Max Domi,CLS,C,18,7,8,15,4,10,31,0,0,0,0,0,4,2
Kasperi Kapanen,PIT,RW,30,7,9,16,6,6,62,2,0,3,0,0,31,9
Conor Sheary,WAS,LW,25,7,8,15,1,4,42,3,1,1,0,0,16,15
Garnet Hathaway,WAS,RW,26,7,3,10,9,16,55,2,0,0,0,1,99,12
Andrew Copp,WPG,C,30,7,13,20,7,8,77,1,1,1,1,1,26,22
Carter Verhaeghe,FLA,C,28,7,15,22,8,12,46,1,0,2,0,0,14,4
Dominik Kubalik,CHI,LW,30,6,6,12,-11,8,63,0,3,2,0,0,44,13
Kevin Fiala,MIN,LW,30,6,14,20,0,14,97,1,2,4,0,0,17,5
Shea Theodore,VGK,D,29,6,16,22,6,10,70,0,1,6,0,0,9,32
J.T. Compher,COL,C,15,6,5,11,2,6,27,0,1,2,1,0,10,10
Viktor Arvidsson,LA,LW,23,6,8,14,-2,12,86,0,3,2,0,0,10,16
Frank Vatrano,FLA,LW,28,6,3,9,-7,10,61,0,1,1,0,0,30,8
Lawson Crouse,ARI,LW,28,6,5,11,-5,22,64,1,0,2,0,0,71,17
Mitch Marner,TOR,C,24,6,15,21,5,4,60,3,0,7,1,0,8,12
Kevin Rooney,NYR,C,30,6,1,7,1,8,38,1,0,0,0,0,34,24
Nicolas Roy,VGK,C,29,6,9,15,7,31,56,1,0,0,0,0,29,15
Corey Perry,TB,RW,30,6,6,12,3,21,63,1,2,0,0,0,30,14
Kyle Okposo,BUF,RW,30,6,14,20,-2,16,71,1,2,3,1,0,24,8
Kevin Shattenkirk,ANH,D,32,6,12,18,4,14,62,0,1,8,0,0,22,37
Patrick Maroon,TB,LW,29,6,4,10,10,42,49,0,2,0,0,0,47,4
Tomas Tatar,NJ,LW,30,6,8,14,-5,12,53,0,2,2,0,0,30,10
John Carlson,WAS,D,31,6,20,26,11,4,73,1,3,5,0,1,25,38
Scott Laughton,PHI,C,29,6,3,9,-5,10,44,0,0,0,2,0,61,21
Zemgus Girgensons,BUF,C,30,6,5,11,-6,23,54,1,2,1,0,0,44,12
Yanni Gourde,SEA,LW,22,6,10,16,-4,9,43,0,0,2,0,1,27,8
Jacob Trouba,NYR,D,30,6,8,14,2,42,75,1,1,1,0,0,81,66
